,zat_origen,zat_destino,Origin Trips,Destination Trips,Org Nodal Strength,Dest Nodal Strength,distance,Trips,s_ij
0,714.0,1050.0,100.0,194.0,203.0,395.0,2542.549033718444,53.0,2370.0
1,159.0,1050.0,108.0,194.0,220.0,395.0,22290.67356440744,1.0,20809.0
2,743.0,1050.0,306.0,194.0,612.0,395.0,6370.44441066752,1.0,6724.0
3,663.0,1050.0,55.0,194.0,111.0,395.0,4046.7997344949367,1.0,4165.0
4,701.0,1050.0,194.0,194.0,390.0,395.0,7554.029544749615,3.0,7750.0
5,727.0,1050.0,56.0,194.0,113.0,395.0,2466.1038816251503,4.0,1432.0
6,667.0,1050.0,159.0,194.0,323.0,395.0,4439.409749435896,3.0,4201.0
7,674.0,1050.0,72.0,194.0,148.0,395.0,3699.0198614307333,4.0,4106.0
8,715.0,1050.0,39.0,194.0,78.0,395.0,2469.5114125895675,3.0,2316.0
9,758.0,1050.0,62.0,194.0,121.0,395.0,5485.769348376989,1.0,5785.0
10,961.0,1050.0,69.0,194.0,140.0,395.0,6363.311964616726,1.0,6828.0
11,753.0,1050.0,28.0,194.0,54.0,395.0,5055.4276110993205,2.0,6527.0
12,560.0,1050.0,31.0,194.0,61.0,395.0,11475.424232991169,1.0,9074.0
13,722.0,1050.0,48.0,194.0,97.0,395.0,782.8651090380879,2.0,87.0
14,721.0,1050.0,33.0,194.0,66.0,395.0,1701.6839835611922,7.0,662.0
15,462.0,1050.0,12.0,194.0,25.0,395.0,10838.97234267311,1.0,15244.0
16,736.0,1050.0,29.0,194.0,53.0,395.0,4457.935742021982,6.0,6592.0
17,720.0,1050.0,18.0,194.0,36.0,395.0,1607.6235533663491,1.0,758.0
18,773.0,1050.0,26.0,194.0,52.0,395.0,7471.607491843737,1.0,7325.0
19,1051.0,1050.0,43.0,194.0,87.0,395.0,2401.1210732144236,5.0,472.0
20,455.0,1050.0,22.0,194.0,44.0,395.0,12522.262872199095,1.0,17905.0
21,962.0,1050.0,27.0,194.0,55.0,395.0,4032.854907167088,1.0,4602.0
22,796.0,1050.0,15.0,194.0,31.0,395.0,46829.39272537806,4.0,0.0
23,797.0,1050.0,4.0,194.0,8.0,395.0,3446.0423567856537,4.0,0.0
24,281.0,1050.0,21.0,194.0,42.0,395.0,16448.962772845105,1.0,19973.0
25,725.0,1050.0,54.0,194.0,107.0,395.0,1960.070276012571,1.0,738.0
26,987.0,1050.0,24.0,194.0,48.0,395.0,6399.406683022674,1.0,8125.0
27,248.0,1050.0,14.0,194.0,27.0,395.0,18381.888428294664,1.0,20720.0
28,247.0,1050.0,20.0,194.0,39.0,395.0,18260.43708281112,1.0,20037.0
29,384.0,1050.0,15.0,194.0,30.0,395.0,12318.939920663262,1.0,16451.0
30,153.0,1050.0,27.0,194.0,53.0,395.0,23549.635735579497,1.0,20279.0
31,327.0,1050.0,26.0,194.0,55.0,395.0,14437.864044574304,1.0,17396.0
32,459.0,1050.0,28.0,194.0,55.0,395.0,11703.10527645458,1.0,16887.0
33,152.0,1050.0,9.0,194.0,18.0,395.0,22300.409049823873,1.0,20219.0
34,11.0,1050.0,11.0,194.0,22.0,395.0,29158.08690305743,3.0,19163.0
35,433.0,1050.0,22.0,194.0,44.0,395.0,11431.818542751287,2.0,16355.0
36,322.0,1050.0,21.0,194.0,42.0,395.0,15278.301160047104,1.0,17562.0
37,301.0,1050.0,9.0,194.0,19.0,395.0,16893.716795478416,1.0,17586.0
38,985.0,1050.0,11.0,194.0,21.0,395.0,7937.523731100377,1.0,10807.0
39,9.0,1050.0,29.0,194.0,57.0,395.0,28932.929979166973,1.0,19045.0
40,546.0,1050.0,6.0,194.0,12.0,395.0,9266.402074833324,1.0,9780.0
41,710.0,1050.0,14.0,194.0,28.0,395.0,2961.562687357309,1.0,2762.0
42,258.0,1050.0,20.0,194.0,40.0,395.0,20434.313851607967,1.0,20036.0
43,709.0,1050.0,13.0,194.0,26.0,395.0,3270.0497515489583,1.0,3375.0
44,1035.0,1050.0,12.0,194.0,25.0,395.0,13111.508447553351,1.0,14590.0
45,364.0,1050.0,32.0,194.0,67.0,395.0,12381.740978776512,1.0,17120.0
46,613.0,1050.0,15.0,194.0,29.0,395.0,6921.302473163025,1.0,9046.0
47,588.0,1050.0,35.0,194.0,70.0,395.0,8207.16724646834,1.0,11500.0
48,164.0,1050.0,13.0,194.0,26.0,395.0,19856.202132198952,1.0,20079.0
49,633.0,1050.0,12.0,194.0,24.0,395.0,6074.7995321511835,1.0,7433.0
50,586.0,1050.0,13.0,194.0,26.0,395.0,8362.734806716808,2.0,11480.0
51,946.0,1050.0,13.0,194.0,21.0,395.0,8021.857221532577,2.0,8644.0
52,182.0,1050.0,10.0,194.0,19.0,395.0,19441.667236987378,1.0,17733.0
53,447.0,1050.0,8.0,194.0,18.0,395.0,9767.690013855039,1.0,13686.0
54,188.0,1050.0,4.0,194.0,8.0,395.0,20694.02730095112,1.0,17652.0
55,574.0,1050.0,5.0,194.0,10.0,395.0,7182.936889129218,1.0,8882.0
56,368.0,1050.0,11.0,194.0,22.0,395.0,12342.180203903567,1.0,17016.0
57,631.0,1050.0,12.0,194.0,24.0,395.0,5871.930218230953,2.0,7212.0
58,724.0,1050.0,21.0,194.0,42.0,395.0,1956.4739715254195,1.0,1265.0
59,451.0,1050.0,8.0,194.0,16.0,395.0,10325.220854192878,2.0,15159.0
60,253.0,1050.0,9.0,194.0,18.0,395.0,17886.7458476321,2.0,20729.0
61,741.0,1050.0,2.0,194.0,4.0,395.0,4856.398744183088,2.0,6612.0
62,7.0,1050.0,7.0,194.0,14.0,395.0,30078.54762603102,2.0,19088.0
63,342.0,1050.0,7.0,194.0,13.0,395.0,14625.73224278563,2.0,19562.0
64,569.0,1050.0,11.0,194.0,22.0,395.0,9564.635877310468,2.0,7818.0
65,178.0,1050.0,17.0,194.0,33.0,395.0,19927.047673362424,2.0,18281.0
66,199.0,1050.0,7.0,194.0,14.0,395.0,19458.63960005582,1.0,17601.0
67,324.0,1050.0,16.0,194.0,31.0,395.0,13899.869212075493,1.0,16902.0
68,385.0,1050.0,4.0,194.0,9.0,395.0,12387.919045428422,1.0,16499.0
69,241.0,1050.0,14.0,194.0,27.0,395.0,18788.66554568743,1.0,19962.0
70,231.0,1050.0,5.0,194.0,9.0,395.0,17735.15211697539,1.0,19405.0
71,444.0,1050.0,14.0,194.0,28.0,395.0,11188.00192190988,1.0,16645.0
72,20.0,1050.0,3.0,194.0,6.0,395.0,28724.32296655584,1.0,20249.0
73,730.0,1050.0,3.0,194.0,6.0,395.0,3155.661242349748,1.0,2161.0
74,732.0,1050.0,8.0,194.0,17.0,395.0,3994.389818630591,1.0,5518.0
75,573.0,1050.0,7.0,194.0,14.0,395.0,7053.774391951211,1.0,8695.0
76,136.0,1050.0,6.0,194.0,12.0,395.0,20299.781131819716,1.0,18865.0
77,334.0,1050.0,3.0,194.0,7.0,395.0,13529.357917996986,1.0,18049.0
78,503.0,1050.0,2.0,194.0,4.0,395.0,9238.336684365726,1.0,13305.0
79,974.0,1050.0,3.0,194.0,6.0,395.0,6654.6547459432695,1.0,9996.0
80,461.0,1050.0,4.0,194.0,8.0,395.0,11120.350105951948,1.0,16309.0
81,660.0,1050.0,4.0,194.0,9.0,395.0,4408.393730741946,1.0,4899.0
82,388.0,1050.0,5.0,194.0,9.0,395.0,13317.747913344709,1.0,16687.0
83,339.0,1050.0,4.0,194.0,8.0,395.0,14048.2883288375,1.0,18389.0
84,422.0,1050.0,2.0,194.0,4.0,395.0,10829.40940582799,1.0,14948.0
85,373.0,1050.0,1.0,194.0,2.0,395.0,10993.461942264663,1.0,14987.0
86,527.0,1050.0,5.0,194.0,10.0,395.0,10848.033152574253,1.0,11757.0
87,610.0,1050.0,2.0,194.0,4.0,395.0,7234.1005481895045,1.0,10265.0
88,996.0,1050.0,4.0,194.0,12.0,395.0,14638.135967542465,1.0,17257.0
89,210.0,1050.0,2.0,194.0,4.0,395.0,17747.771080427054,1.0,17757.0
90,216.0,1050.0,2.0,194.0,4.0,395.0,18244.951399599453,1.0,18799.0
91,62.0,1050.0,3.0,194.0,7.0,395.0,25981.438410329014,1.0,19561.0
92,24.0,1050.0,1.0,194.0,2.0,395.0,28699.564014036976,1.0,19303.0
93,1052.0,1050.0,1.0,194.0,2.0,395.0,5988.303864036615,1.0,3645.0
94,714.0,721.0,100.0,33.0,203.0,66.0,870.5673151838258,7.0,78.0
95,1050.0,721.0,201.0,33.0,395.0,66.0,1701.6839835611922,7.0,229.0
96,667.0,721.0,159.0,33.0,323.0,66.0,2741.5851136227907,1.0,2314.0
97,962.0,721.0,27.0,33.0,55.0,66.0,3165.055622823903,1.0,3149.0
98,519.0,721.0,14.0,33.0,28.0,66.0,7867.1556577664405,1.0,10175.0
99,344.0,721.0,24.0,33.0,46.0,66.0,13227.90193367004,1.0,16237.0
100,300.0,721.0,10.0,33.0,20.0,66.0,15153.449061849984,2.0,16631.0
101,588.0,721.0,35.0,33.0,70.0,66.0,7396.042728918145,2.0,9256.0
102,466.0,721.0,8.0,33.0,16.0,66.0,9191.624871659977,1.0,13061.0
103,946.0,721.0,13.0,33.0,21.0,66.0,6320.344715387942,2.0,6960.0
104,838.0,721.0,7.0,33.0,14.0,66.0,23770.495832191515,2.0,17081.0
105,524.0,721.0,11.0,33.0,21.0,66.0,7997.119961203621,1.0,9086.0
106,511.0,721.0,4.0,33.0,7.0,66.0,6909.358027711352,1.0,8996.0
107,444.0,721.0,14.0,33.0,28.0,66.0,10357.305324676756,1.0,13716.0
108,257.0,721.0,7.0,33.0,14.0,66.0,18890.245712546894,1.0,18336.0
109,115.0,721.0,3.0,33.0,5.0,66.0,22521.36045482582,1.0,16423.0
110,369.0,721.0,3.0,33.0,6.0,66.0,10798.487863989874,1.0,14368.0
111,714.0,167.0,100.0,29.0,203.0,57.0,18288.814861822935,2.0,20219.0
112,161.0,167.0,171.0,29.0,338.0,57.0,4345.241961186253,1.0,1244.0
113,765.0,167.0,80.0,29.0,159.0,57.0,18307.67988747923,1.0,20306.0
114,751.0,167.0,291.0,29.0,571.0,57.0,20914.41735234233,1.0,20091.0
115,703.0,167.0,127.0,29.0,252.0,57.0,17058.9073273034,1.0,19970.0
116,755.0,167.0,120.0,29.0,238.0,57.0,21848.634628360778,2.0,19947.0
117,727.0,167.0,56.0,29.0,113.0,57.0,17934.99848254208,1.0,20247.0
118,669.0,167.0,98.0,29.0,197.0,57.0,17053.775400485658,1.0,20261.0
119,777.0,167.0,48.0,29.0,95.0,57.0,19781.869078267504,1.0,20512.0
120,961.0,167.0,69.0,29.0,140.0,57.0,20702.959210179677,1.0,20373.0
121,58.0,167.0,70.0,29.0,139.0,57.0,7414.660959641676,1.0,1868.0
122,748.0,167.0,60.0,29.0,122.0,57.0,19666.849617787528,1.0,20441.0
123,604.0,167.0,59.0,29.0,118.0,57.0,13176.997027274536,1.0,17415.0
124,712.0,167.0,67.0,29.0,136.0,57.0,17130.43859402594,1.0,20261.0
125,684.0,167.0,71.0,29.0,142.0,57.0,16618.842876072194,1.0,20020.0
126,1051.0,167.0,43.0,29.0,87.0,57.0,20363.959916338354,1.0,20223.0
127,1001.0,167.0,66.0,29.0,132.0,57.0,24260.30846385838,1.0,20059.0
128,620.0,167.0,63.0,29.0,127.0,57.0,15072.980507756627,1.0,20323.0
129,25.0,167.0,11.0,29.0,21.0,57.0,8192.747540656119,1.0,1545.0
130,675.0,167.0,22.0,29.0,42.0,57.0,15939.821933353784,1.0,20301.0
131,995.0,167.0,50.0,29.0,98.0,57.0,10558.131749071881,1.0,10223.0
132,760.0,167.0,18.0,29.0,38.0,57.0,21797.068564966965,1.0,20648.0
133,364.0,167.0,32.0,29.0,67.0,57.0,7914.297864089532,1.0,6536.0
134,724.0,167.0,21.0,29.0,42.0,57.0,18335.07715856777,1.0,20313.0
135,277.0,167.0,21.0,29.0,41.0,57.0,5952.869157823876,1.0,3743.0
136,131.0,167.0,8.0,29.0,17.0,57.0,3692.974206476086,1.0,677.0
137,330.0,167.0,3.0,29.0,5.0,57.0,6740.627512297302,1.0,5280.0
138,714.0,716.0,100.0,69.0,203.0,135.0,1304.467839891082,2.0,180.0
139,1050.0,716.0,201.0,69.0,395.0,135.0,2654.789557892376,2.0,966.0
140,744.0,716.0,50.0,69.0,99.0,135.0,6370.59851454866,1.0,7555.0
141,703.0,716.0,127.0,69.0,252.0,135.0,3937.3547747704383,2.0,4281.0
142,669.0,716.0,98.0,69.0,197.0,135.0,2231.296963979406,1.0,2041.0
143,715.0,716.0,39.0,69.0,78.0,135.0,499.7543708491175,11.0,0.0
144,742.0,716.0,52.0,69.0,104.0,135.0,5913.360409683311,1.0,7487.0
145,661.0,716.0,31.0,69.0,61.0,135.0,1557.2916545591033,1.0,1193.0
146,720.0,716.0,18.0,69.0,36.0,135.0,1137.9615369131589,3.0,557.0
147,632.0,716.0,23.0,69.0,48.0,135.0,2856.5134674165365,1.0,2180.0
148,962.0,716.0,27.0,69.0,55.0,135.0,1565.9940207844506,1.0,817.0
149,1001.0,716.0,66.0,69.0,132.0,135.0,8963.742562762178,1.0,7148.0
