,zat_origen,zat_destino,Origin Trips,Destination Trips,Org Nodal Strength,Dest Nodal Strength,distance,Trips,s_ij
0,530.0,551.0,274.0,124.0,362.0,233.0,782.9163118920128,44.0,163.0
1,569.0,551.0,134.0,124.0,179.0,233.0,3405.7145966836733,4.0,4113.0
2,529.0,551.0,120.0,124.0,161.0,233.0,1886.7057382828148,2.0,1417.0
3,651.0,551.0,162.0,124.0,183.0,233.0,12003.612163887068,1.0,35931.0
4,557.0,551.0,168.0,124.0,248.0,233.0,2285.052806645821,4.0,1235.0
5,1006.0,551.0,99.0,124.0,143.0,233.0,1644.0418301851462,4.0,690.0
6,932.0,551.0,154.0,124.0,199.0,233.0,4843.181549027231,3.0,4757.0
7,554.0,551.0,67.0,124.0,102.0,233.0,1731.7159066723254,3.0,975.0
8,558.0,551.0,101.0,124.0,124.0,233.0,3250.040723861584,1.0,2025.0
9,553.0,551.0,124.0,124.0,206.0,233.0,1602.353335276964,5.0,966.0
10,310.0,551.0,113.0,124.0,163.0,233.0,7354.081097656493,2.0,9849.0
11,560.0,551.0,105.0,124.0,185.0,233.0,1917.440889124325,2.0,1134.0
12,556.0,551.0,78.0,124.0,106.0,233.0,1891.4374190266112,1.0,1270.0
13,570.0,551.0,85.0,124.0,103.0,233.0,3666.711927533758,2.0,3776.0
14,995.0,551.0,133.0,124.0,192.0,233.0,4431.846751282303,2.0,6998.0
15,550.0,551.0,88.0,124.0,126.0,233.0,711.2382070504133,10.0,0.0
16,410.0,551.0,134.0,124.0,183.0,233.0,2791.9968405251384,1.0,3644.0
17,1048.0,551.0,94.0,124.0,164.0,233.0,12927.208224432201,1.0,37279.0
18,533.0,551.0,74.0,124.0,107.0,233.0,1847.8326198696689,2.0,1096.0
19,528.0,551.0,90.0,124.0,163.0,233.0,1343.0084732567962,2.0,1075.0
20,456.0,551.0,49.0,124.0,234.0,233.0,12646.512202263551,1.0,48223.0
21,745.0,551.0,61.0,124.0,86.0,233.0,16286.610575870422,1.0,35699.0
22,1035.0,551.0,74.0,124.0,124.0,233.0,3308.5053326869984,1.0,4326.0
23,355.0,551.0,57.0,124.0,163.0,233.0,12152.448865612629,1.0,47379.0
24,425.0,551.0,26.0,124.0,56.0,233.0,6785.311163302656,1.0,28687.0
25,415.0,551.0,28.0,124.0,78.0,233.0,1852.0301142640953,1.0,2056.0
26,531.0,551.0,99.0,124.0,162.0,233.0,1115.4797257711555,3.0,647.0
27,689.0,551.0,49.0,124.0,69.0,233.0,13878.406869309052,1.0,38191.0
28,735.0,551.0,55.0,124.0,123.0,233.0,14487.133281183986,3.0,33846.0
29,342.0,551.0,60.0,124.0,147.0,233.0,12656.669031282754,2.0,48621.0
30,548.0,551.0,64.0,124.0,119.0,233.0,1372.680179870568,1.0,868.0
31,390.0,551.0,48.0,124.0,96.0,233.0,4496.15875685102,2.0,9264.0
32,524.0,551.0,35.0,124.0,105.0,233.0,3294.533584746364,1.0,5786.0
33,564.0,551.0,20.0,124.0,28.0,233.0,1522.1347839284151,3.0,944.0
34,409.0,551.0,40.0,124.0,113.0,233.0,3185.231430185282,1.0,5177.0
35,112.0,551.0,50.0,124.0,77.0,233.0,14548.282184468328,1.0,39367.0
36,426.0,551.0,35.0,124.0,60.0,233.0,7235.778214692218,1.0,31718.0
37,370.0,551.0,12.0,124.0,63.0,233.0,8927.774422371718,1.0,39507.0
38,100.0,551.0,7.0,124.0,9.0,233.0,15084.18238953959,1.0,42848.0
39,169.0,551.0,2.0,124.0,12.0,233.0,14026.451618894955,1.0,49949.0
40,530.0,528.0,274.0,73.0,362.0,163.0,578.151759907699,16.0,0.0
41,749.0,528.0,162.0,73.0,207.0,163.0,17503.97170964734,1.0,36468.0
42,529.0,528.0,120.0,73.0,161.0,163.0,1338.3878385774635,19.0,450.0
43,557.0,528.0,168.0,73.0,248.0,163.0,3395.4075383854997,1.0,2939.0
44,553.0,528.0,124.0,73.0,206.0,163.0,1932.2110111173074,3.0,1447.0
45,413.0,528.0,128.0,73.0,180.0,163.0,1691.4234588204179,1.0,648.0
46,551.0,528.0,109.0,73.0,233.0,163.0,1343.0084732567962,1.0,695.0
47,310.0,528.0,113.0,73.0,163.0,163.0,6456.726455737544,1.0,6491.0
48,933.0,528.0,58.0,73.0,71.0,163.0,7294.115549559255,1.0,7856.0
49,500.0,528.0,155.0,73.0,249.0,163.0,10160.442401068469,1.0,36511.0
50,423.0,528.0,98.0,73.0,172.0,163.0,4849.494265290787,1.0,12054.0
51,533.0,528.0,74.0,73.0,107.0,163.0,1871.7166621207923,1.0,1691.0
52,414.0,528.0,47.0,73.0,64.0,163.0,1419.3394562067156,4.0,542.0
53,1001.0,528.0,170.0,73.0,212.0,163.0,18481.36408966168,1.0,32712.0
54,527.0,528.0,68.0,73.0,93.0,163.0,1071.719747075871,1.0,352.0
55,525.0,528.0,35.0,73.0,81.0,163.0,2068.227387093771,2.0,2487.0
56,411.0,528.0,39.0,73.0,98.0,163.0,1206.9354270681752,2.0,661.0
57,596.0,528.0,19.0,73.0,41.0,163.0,11687.548544164258,1.0,37794.0
58,415.0,528.0,28.0,73.0,78.0,163.0,509.97577704503954,2.0,0.0
59,472.0,528.0,26.0,73.0,38.0,163.0,11758.059268698147,1.0,42226.0
60,964.0,528.0,14.0,73.0,24.0,163.0,2474.6232492087233,1.0,3073.0
61,412.0,528.0,23.0,73.0,44.0,163.0,1314.046943553776,1.0,861.0
62,943.0,528.0,21.0,73.0,41.0,163.0,4857.564559806192,1.0,9257.0
63,699.0,528.0,22.0,73.0,33.0,163.0,14194.27444431338,2.0,37883.0
64,649.0,528.0,29.0,73.0,48.0,163.0,13280.931242185015,1.0,37376.0
65,443.0,528.0,19.0,73.0,122.0,163.0,10238.879691874272,1.0,40567.0
66,326.0,528.0,11.0,73.0,84.0,163.0,6626.654298878324,1.0,27626.0
67,242.0,528.0,7.0,73.0,73.0,163.0,13519.992374110023,1.0,47227.0
68,324.0,528.0,13.0,73.0,103.0,163.0,5877.7814671525,1.0,17232.0
69,126.0,528.0,9.0,73.0,18.0,163.0,12560.2593499894,1.0,37230.0
70,457.0,528.0,11.0,73.0,147.0,163.0,11181.062905230383,1.0,42755.0
71,530.0,531.0,274.0,63.0,362.0,162.0,1057.4272947269178,9.0,396.0
72,557.0,531.0,168.0,63.0,248.0,162.0,3377.707206394515,1.0,2777.0
73,553.0,531.0,124.0,63.0,206.0,162.0,2546.7947542229676,1.0,2287.0
74,551.0,531.0,109.0,63.0,233.0,162.0,1115.4797257711555,3.0,533.0
75,310.0,531.0,113.0,63.0,163.0,162.0,7645.74414730565,1.0,10560.0
76,560.0,531.0,105.0,63.0,185.0,162.0,2833.9257826146586,1.0,2710.0
77,550.0,531.0,88.0,63.0,126.0,162.0,1411.8475015257734,5.0,515.0
78,410.0,531.0,134.0,63.0,183.0,162.0,2214.884176378041,1.0,2776.0
79,462.0,531.0,114.0,63.0,180.0,162.0,10976.150367442468,1.0,39885.0
80,664.0,531.0,41.0,63.0,58.0,162.0,6290.646489530667,1.0,13311.0
81,533.0,531.0,74.0,63.0,107.0,162.0,799.6307116541694,2.0,168.0
82,761.0,531.0,104.0,63.0,132.0,162.0,16922.315351698977,1.0,31276.0
83,543.0,531.0,85.0,63.0,140.0,162.0,2658.8828978699225,1.0,2748.0
84,303.0,531.0,59.0,63.0,76.0,162.0,9077.926397419831,1.0,33574.0
85,527.0,531.0,68.0,63.0,93.0,162.0,964.5099701758979,1.0,109.0
86,538.0,531.0,64.0,63.0,80.0,162.0,3564.609481242165,1.0,6840.0
87,532.0,531.0,39.0,63.0,68.0,162.0,541.97449601088,6.0,107.0
88,672.0,531.0,35.0,63.0,58.0,162.0,7681.5440322148115,1.0,19243.0
89,317.0,531.0,158.0,63.0,257.0,162.0,6164.817128566758,1.0,13483.0
90,411.0,531.0,39.0,63.0,98.0,162.0,2170.5780280128747,1.0,2591.0
91,523.0,531.0,70.0,63.0,142.0,162.0,2232.296240590953,1.0,2436.0
92,549.0,531.0,15.0,63.0,17.0,162.0,738.6695160987094,4.0,119.0
93,522.0,531.0,60.0,63.0,139.0,162.0,2771.090493545917,1.0,4067.0
94,27.0,531.0,79.0,63.0,163.0,162.0,20056.045503259993,1.0,44163.0
95,501.0,531.0,42.0,63.0,207.0,162.0,9053.68391369972,1.0,33408.0
96,548.0,531.0,64.0,63.0,119.0,162.0,1130.1222212610257,2.0,380.0
97,283.0,531.0,19.0,63.0,47.0,162.0,11302.444678619506,1.0,46107.0
98,564.0,531.0,20.0,63.0,28.0,162.0,1878.9724902852383,3.0,1278.0
99,202.0,531.0,25.0,63.0,40.0,162.0,10693.887928545682,1.0,39476.0
100,971.0,531.0,7.0,63.0,25.0,162.0,10634.964313350976,1.0,34074.0
101,561.0,531.0,7.0,63.0,24.0,162.0,4086.2823371189875,2.0,4157.0
102,443.0,531.0,19.0,63.0,122.0,162.0,10129.336297989035,1.0,39362.0
103,545.0,531.0,7.0,63.0,1.0,162.0,2053.81570551719,1.0,1601.0
104,294.0,531.0,15.0,63.0,160.0,162.0,8973.662547302216,1.0,39333.0
105,541.0,531.0,4.0,63.0,17.0,162.0,3500.848566935979,1.0,5952.0
106,680.0,531.0,1.0,63.0,7.0,162.0,10207.95184103535,1.0,28729.0
107,530.0,553.0,274.0,82.0,362.0,206.0,1570.4278026415418,6.0,1064.0
108,557.0,553.0,168.0,82.0,248.0,206.0,1914.4147179189538,1.0,820.0
109,1006.0,553.0,99.0,82.0,143.0,206.0,570.0371033251698,17.0,102.0
110,751.0,553.0,181.0,82.0,222.0,206.0,18306.719314160688,1.0,41164.0
111,554.0,553.0,67.0,82.0,102.0,206.0,1024.6816818877435,15.0,497.0
112,558.0,553.0,101.0,82.0,124.0,206.0,3060.0467066609763,2.0,1819.0
113,551.0,553.0,109.0,82.0,233.0,206.0,1602.353335276964,7.0,1122.0
114,556.0,553.0,78.0,82.0,106.0,206.0,1399.1484254065447,2.0,765.0
115,422.0,553.0,70.0,82.0,97.0,206.0,6744.395923409504,1.0,26476.0
116,748.0,553.0,34.0,82.0,44.0,206.0,18561.667180542016,1.0,43989.0
117,562.0,553.0,57.0,82.0,116.0,206.0,3562.511963492561,2.0,4655.0
118,744.0,553.0,55.0,82.0,103.0,206.0,17048.044896822474,1.0,40182.0
119,731.0,553.0,78.0,82.0,118.0,206.0,14441.088412144754,1.0,39216.0
120,414.0,553.0,47.0,82.0,64.0,206.0,1503.403928127282,1.0,705.0
121,400.0,553.0,40.0,82.0,51.0,206.0,5100.829681532417,1.0,7305.0
122,298.0,553.0,128.0,82.0,178.0,206.0,9795.177896309686,1.0,43470.0
123,317.0,553.0,158.0,82.0,257.0,206.0,6180.854585714424,2.0,13645.0
124,656.0,553.0,44.0,82.0,54.0,206.0,11733.78820629344,1.0,39438.0
125,465.0,553.0,45.0,82.0,60.0,206.0,13307.183499310511,1.0,48198.0
126,531.0,553.0,99.0,82.0,162.0,206.0,2546.7947542229676,2.0,3185.0
127,572.0,553.0,80.0,82.0,135.0,206.0,6311.523079793473,1.0,16501.0
128,565.0,553.0,38.0,82.0,92.0,206.0,3501.425418270416,1.0,5785.0
129,524.0,553.0,35.0,82.0,105.0,206.0,4558.871034834606,1.0,9798.0
130,661.0,553.0,29.0,82.0,56.0,206.0,9741.157879835984,1.0,31752.0
131,409.0,553.0,40.0,82.0,113.0,206.0,3782.28729104524,1.0,6374.0
132,699.0,553.0,22.0,82.0,33.0,206.0,16041.879286927915,1.0,46198.0
133,567.0,553.0,25.0,82.0,91.0,206.0,3847.0082506108697,1.0,6375.0
134,990.0,553.0,31.0,82.0,87.0,206.0,5212.8957013846,1.0,11355.0
135,432.0,553.0,18.0,82.0,52.0,206.0,10074.382357443985,1.0,42841.0
136,201.0,553.0,62.0,82.0,101.0,206.0,9476.480447763237,1.0,31283.0
137,70.0,553.0,23.0,82.0,38.0,206.0,18428.202031815686,1.0,46804.0
138,968.0,553.0,14.0,82.0,34.0,206.0,13759.145142058236,1.0,47327.0
139,424.0,553.0,22.0,82.0,30.0,206.0,7408.712086061149,1.0,32572.0
140,463.0,553.0,18.0,82.0,58.0,206.0,12769.70315055778,1.0,47922.0
141,176.0,553.0,22.0,82.0,99.0,206.0,12217.815065948349,1.0,45948.0
142,552.0,553.0,12.0,82.0,28.0,206.0,1485.9726803352305,1.0,1220.0
143,530.0,522.0,274.0,79.0,362.0,139.0,3345.108125986567,6.0,4792.0
144,1006.0,522.0,99.0,79.0,143.0,139.0,5207.903177824625,2.0,6522.0
