cod_vh;cod_viv;cod_hog;cod_utam_hg;zat_hg;cod_upl_hg;nom_mun_hg;estrato_hg;tipo_vehículo;cantidad;tipo_combustible;mun_matricula;tipo_placa;exento_pyp;modelo;propiedad_vh;key_hg;fexp_vh;
1;12156;5102;UTAM076;309;10;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;66001;Privada;No;2008;Este hogar;uuid:38d81220-9026-4f52-991a-f8915b447439; 81,2 ;
2;3274;2130;UTAM056;703;29;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2011;Este hogar;uuid:1807b7af-c09e-47af-9234-18f1a768cd61; 132,2 ;
3;3274;2130;UTAM056;703;29;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2020;Este hogar;uuid:1807b7af-c09e-47af-9234-18f1a768cd61; 132,2 ;
4;4610;9050;UTAM060;685;29;Bogotá D.C.;1;Campero/Camioneta;1;Sólo Gasolina;11001;Pública;No;2014;Este hogar;uuid:6603181f-9cf9-4754-9aa4-f710acbef8e6; 2,9 ;
5;3060;8972;UTAM058;939;27;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2019;Este hogar;uuid:6511a0c7-545d-4af7-a784-8951c586decc; 200,0 ;
6;3060;8972;UTAM058;939;27;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2021;Este hogar;uuid:6511a0c7-545d-4af7-a784-8951c586decc; 200,0 ;
7;3060;8972;UTAM058;939;27;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2017;Este hogar;uuid:6511a0c7-545d-4af7-a784-8951c586decc; 200,0 ;
8;3058;16440;UTAM058;939;27;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);2017;Este hogar;uuid:b8836b3b-7304-4b9c-88cf-a9f84022d343; 164,1 ;
9;3582;20098;UTAM058;752;27;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;25151;Privada;No;2018;Este hogar;uuid:e17ad7d9-a341-4d3b-810d-4d777bc9c753; 169,1 ;
10;12193;22026;UTAM076;309;10;Bogotá D.C.;2;Automóvil;1;Sólo Gasolina;11001;Privada;No;2010;Este hogar;uuid:f7b91ee3-760d-433d-b8ae-d50d0bae6397; 69,0 ;
11;2221;2976;UTAM053;611;29;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:21c3f7a4-cf86-4f90-b4ce-4e45c44d0cba; 40,9 ;
12;2221;2976;UTAM053;611;29;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:21c3f7a4-cf86-4f90-b4ce-4e45c44d0cba; 40,9 ;
13;2220;16258;UTAM053;611;29;Bogotá D.C.;2;Motocicleta;1;Sólo Gasolina;No aplica;Privada;NA (motos);NS/NR;Este hogar;uuid:b67e6e4d-f46a-4b79-91c2-de7cc8ca85ce; 45,6 ;
