,zat_ori,zat_des,Origin Trips,Destination Trips,Org Nodal Strength,Dest Nodal Strength,Distances,Trips,s_ij,S_ij
0,327,997,157.0,351.0,320.0,695.0,518.7801408099605,48.0,0.0,0.0
1,298,997,515.0,351.0,967.0,695.0,1259.794445380906,14.0,532.0,271.0
2,322,997,138.0,351.0,279.0,695.0,1814.882781174248,22.0,1930.0,940.0
3,996,997,105.0,351.0,211.0,695.0,1599.5457501465964,3.0,487.0,246.0
4,218,997,61.0,351.0,121.0,695.0,3582.2354411601473,2.0,4625.0,2288.0
5,286,997,57.0,351.0,114.0,695.0,3236.5397643754486,2.0,4313.0,2125.0
6,276,997,62.0,351.0,127.0,695.0,4358.21662175242,2.0,5359.0,2651.0
7,300,997,54.0,351.0,108.0,695.0,2931.1402483321667,3.0,3181.0,1567.0
8,323,997,71.0,351.0,141.0,695.0,3616.689794673193,5.0,2015.0,1010.0
9,459,997,35.0,351.0,71.0,695.0,5966.573580090326,1.0,3573.0,1797.0
10,328,997,18.0,351.0,36.0,695.0,1025.8847628612139,9.0,24.0,12.0
11,167,997,58.0,351.0,117.0,695.0,6565.685347690111,3.0,6814.0,3387.0
12,333,997,29.0,351.0,57.0,695.0,1589.5288443727047,8.0,773.0,386.0
13,384,997,21.0,351.0,43.0,695.0,1790.4406749119942,3.0,468.0,235.0
14,9,997,37.0,351.0,73.0,695.0,14983.574138944123,1.0,8755.0,4361.0
15,27,997,75.0,351.0,151.0,695.0,14026.232172453727,1.0,8608.0,4287.0
16,330,997,55.0,351.0,110.0,695.0,1242.9228963453738,6.0,327.0,164.0
17,299,997,24.0,351.0,51.0,695.0,2294.32806747047,1.0,2625.0,1289.0
18,255,997,38.0,351.0,74.0,695.0,4799.562129927358,2.0,5809.0,2882.0
19,304,997,34.0,351.0,67.0,695.0,7565.986627487258,3.0,4422.0,2189.0
20,134,997,57.0,351.0,115.0,695.0,6974.699570747271,3.0,7278.0,3621.0
21,259,997,15.0,351.0,32.0,695.0,7873.195762071695,1.0,7843.0,3901.0
22,275,997,55.0,351.0,111.0,695.0,4506.454472747662,3.0,5537.0,2744.0
23,998,997,46.0,351.0,93.0,695.0,4267.758230724334,1.0,3463.0,1705.0
24,848,997,50.0,351.0,99.0,695.0,5227.438639855977,1.0,6075.0,3014.0
25,289,997,47.0,351.0,94.0,695.0,2215.9024761653945,4.0,2253.0,1126.0
26,163,997,30.0,351.0,59.0,695.0,6108.506301544093,2.0,6852.0,3406.0
27,354,997,28.0,351.0,57.0,695.0,5525.201013544549,5.0,3760.0,1884.0
28,344,997,70.0,351.0,141.0,695.0,4116.915184617983,3.0,3900.0,1954.0
29,288,997,67.0,351.0,133.0,695.0,2971.562895870774,3.0,4104.0,2022.0
30,293,997,37.0,351.0,69.0,695.0,1859.4111423633833,1.0,2481.0,1211.0
31,340,997,31.0,351.0,62.0,695.0,3349.011518334292,5.0,3601.0,1803.0
32,178,997,37.0,351.0,75.0,695.0,5985.394109071805,2.0,6286.0,3122.0
33,279,997,26.0,351.0,52.0,695.0,3735.4478170833695,4.0,4935.0,2436.0
34,360,997,39.0,351.0,73.0,695.0,3373.856081857211,1.0,3142.0,1576.0
35,282,997,24.0,351.0,48.0,695.0,3671.01281422624,5.0,4842.0,2392.0
36,363,997,31.0,351.0,65.0,695.0,3556.784471166358,5.0,2953.0,1479.0
37,319,997,55.0,351.0,107.0,695.0,3702.580547166069,1.0,3295.0,1625.0
38,135,997,45.0,351.0,90.0,695.0,6570.265950937061,2.0,7054.0,3508.0
39,320,997,44.0,351.0,90.0,695.0,2902.2134981973018,2.0,2948.0,1448.0
40,245,997,13.0,351.0,26.0,695.0,6154.082658234366,1.0,6792.0,3372.0
41,136,997,17.0,351.0,34.0,695.0,6376.100145799635,1.0,7019.0,3491.0
42,50,997,23.0,351.0,46.0,695.0,12442.05145609098,1.0,8404.0,4186.0
43,352,997,73.0,351.0,146.0,695.0,5118.463473202603,4.0,3983.0,1998.0
44,45,997,55.0,351.0,111.0,695.0,12383.76537849261,1.0,8516.0,4239.0
45,272,997,11.0,351.0,23.0,695.0,4745.814405663138,3.0,5645.0,2797.0
46,213,997,12.0,351.0,24.0,695.0,3346.467873432245,1.0,3668.0,1806.0
47,336,997,39.0,351.0,78.0,695.0,2818.5467119913997,3.0,3147.0,1577.0
48,214,997,12.0,351.0,26.0,695.0,3087.8960799628303,4.0,3514.0,1730.0
49,952,997,12.0,351.0,23.0,695.0,2348.6026243966053,3.0,1680.0,841.0
50,955,997,34.0,351.0,67.0,695.0,2881.974402176437,2.0,2014.0,1012.0
51,33,997,9.0,351.0,18.0,695.0,12695.361195702733,2.0,8339.0,4152.0
52,290,997,21.0,351.0,41.0,695.0,2476.4045792605884,2.0,3314.0,1628.0
53,88,997,15.0,351.0,30.0,695.0,9762.582246344198,2.0,8593.0,4282.0
54,440,997,10.0,351.0,20.0,695.0,4445.713973843356,1.0,3036.0,1529.0
55,992,997,29.0,351.0,59.0,695.0,4766.399181500325,3.0,4047.0,2029.0
56,454,997,24.0,351.0,46.0,695.0,5123.5173723836715,2.0,3469.0,1743.0
57,1070,997,9.0,351.0,18.0,695.0,17869.46966473556,1.0,8409.0,4187.0
58,22,997,5.0,351.0,10.0,695.0,14456.161675348782,1.0,8688.0,4328.0
59,851,997,6.0,351.0,12.0,695.0,8556.504839973484,1.0,8507.0,4238.0
60,146,997,11.0,351.0,22.0,695.0,8832.152766450201,1.0,8505.0,4239.0
61,242,997,10.0,351.0,23.0,695.0,6236.344529977216,1.0,6859.0,3403.0
62,165,997,12.0,351.0,24.0,695.0,6860.928161393495,1.0,7038.0,3499.0
63,377,997,5.0,351.0,10.0,695.0,2930.159284158262,1.0,790.0,403.0
64,458,997,17.0,351.0,37.0,695.0,5954.70692416606,1.0,3582.0,1796.0
65,227,997,6.0,351.0,12.0,695.0,3733.7244573580806,1.0,5043.0,2498.0
66,274,997,11.0,351.0,22.0,695.0,5017.814292880087,3.0,5978.0,2964.0
67,331,997,14.0,351.0,29.0,695.0,1180.9105743838388,3.0,861.0,430.0
68,362,997,4.0,351.0,8.0,695.0,4227.012535425117,1.0,3162.0,1587.0
69,271,997,23.0,351.0,46.0,695.0,4750.559031589949,3.0,5326.0,2637.0
70,847,997,16.0,351.0,33.0,695.0,5627.667566188949,1.0,6432.0,3193.0
71,258,997,19.0,351.0,39.0,695.0,7237.852812017326,3.0,7366.0,3662.0
72,846,997,8.0,351.0,15.0,695.0,3063.9686856347653,3.0,4320.0,2128.0
73,380,997,2.0,351.0,4.0,695.0,2413.727884547421,2.0,555.0,280.0
74,455,997,13.0,351.0,27.0,695.0,5402.511528214878,2.0,3556.0,1784.0
75,475,997,6.0,351.0,12.0,695.0,6551.408240913975,2.0,3716.0,1867.0
76,230,997,16.0,351.0,32.0,695.0,4022.9323774565405,2.0,5216.0,2585.0
77,456,997,21.0,351.0,41.0,695.0,5765.084575998239,1.0,3655.0,1834.0
78,187,997,7.0,351.0,16.0,695.0,7223.308524998067,1.0,5643.0,2803.0
79,281,997,13.0,351.0,26.0,695.0,4146.874374694037,2.0,5363.0,2656.0
80,145,997,10.0,351.0,20.0,695.0,8218.24704120019,2.0,8276.0,4121.0
81,247,997,20.0,351.0,40.0,695.0,5352.750136065797,1.0,6372.0,3163.0
82,318,997,25.0,351.0,52.0,695.0,3568.319809102915,1.0,2960.0,1451.0
83,307,997,20.0,351.0,40.0,695.0,4655.299532161866,1.0,3339.0,1640.0
84,395,997,14.0,351.0,28.0,695.0,3768.9520509656936,1.0,3828.0,1919.0
85,326,997,6.0,351.0,12.0,695.0,911.8927932624022,2.0,39.0,20.0
86,369,997,3.0,351.0,6.0,695.0,2200.036447514996,1.0,694.0,351.0
87,332,997,4.0,351.0,8.0,695.0,1729.0233567825055,2.0,558.0,282.0
88,273,997,17.0,351.0,34.0,695.0,4816.258577233503,1.0,5812.0,2882.0
89,87,997,12.0,351.0,23.0,695.0,10236.21094695596,1.0,8826.0,4399.0
90,40,997,7.0,351.0,14.0,695.0,12042.212121775325,1.0,8060.0,4012.0
91,4,997,3.0,351.0,6.0,695.0,16905.57030273167,2.0,8824.0,4395.0
92,973,997,2.0,351.0,4.0,695.0,9534.667567782157,2.0,3086.0,1558.0
93,356,997,6.0,351.0,13.0,695.0,4346.2576161581155,1.0,4042.0,2025.0
94,254,997,8.0,351.0,16.0,695.0,4989.729010443371,2.0,6128.0,3040.0
95,246,997,9.0,351.0,18.0,695.0,5880.4515950234045,1.0,6608.0,3280.0
96,107,997,5.0,351.0,10.0,695.0,10637.309182350507,1.0,8090.0,4027.0
97,224,997,6.0,351.0,12.0,695.0,5275.0523720294805,2.0,6621.0,3291.0
98,153,997,10.0,351.0,20.0,695.0,10231.583425800136,1.0,8657.0,4316.0
99,844,997,3.0,351.0,6.0,695.0,1938.2803345447078,2.0,1086.0,542.0
100,124,997,7.0,351.0,14.0,695.0,7296.175566928532,2.0,6481.0,3224.0
101,155,997,20.0,351.0,42.0,695.0,10044.50463022047,1.0,8905.0,4434.0
102,86,997,17.0,351.0,34.0,695.0,10863.80423817716,1.0,8647.0,4310.0
103,302,997,11.0,351.0,22.0,695.0,4915.518821218503,1.0,4187.0,2070.0
104,396,997,4.0,351.0,5.0,695.0,5503.615421528382,2.0,2283.0,1146.0
105,141,997,6.0,351.0,11.0,695.0,7885.616118719512,1.0,8266.0,4116.0
106,385,997,5.0,351.0,10.0,695.0,2235.3113989683766,1.0,593.0,299.0
107,21,997,5.0,351.0,10.0,695.0,14618.72751338952,1.0,8784.0,4376.0
108,419,997,25.0,351.0,51.0,695.0,4595.726373674988,1.0,1523.0,765.0
109,371,997,10.0,351.0,21.0,695.0,3369.527071587732,1.0,2102.0,1060.0
110,351,997,8.0,351.0,16.0,695.0,4930.928125565881,1.0,4170.0,2092.0
111,234,997,6.0,351.0,12.0,695.0,5031.835914019525,1.0,6068.0,3012.0
112,285,997,7.0,351.0,14.0,695.0,3740.5794824240584,1.0,5201.0,2573.0
113,149,997,4.0,351.0,8.0,695.0,8222.126857850526,1.0,8266.0,4117.0
114,256,997,5.0,351.0,10.0,695.0,6525.432089957294,1.0,7227.0,3591.0
115,261,997,12.0,351.0,24.0,695.0,7546.253021586515,1.0,7618.0,3786.0
116,462,997,3.0,351.0,6.0,695.0,6563.632232748722,1.0,3542.0,1782.0
117,280,997,6.0,351.0,12.0,695.0,4001.942237857102,1.0,5276.0,2610.0
118,232,997,4.0,351.0,7.0,695.0,4695.025784066421,1.0,6312.0,3136.0
119,438,997,2.0,351.0,4.0,695.0,5134.549056803862,1.0,2973.0,1499.0
120,457,997,7.0,351.0,15.0,695.0,5591.447883913915,1.0,3516.0,1765.0
121,229,997,6.0,351.0,11.0,695.0,3610.234061960992,1.0,4864.0,2408.0
122,500,997,3.0,351.0,6.0,695.0,6881.931571697094,1.0,3044.0,1536.0
123,251,997,2.0,351.0,4.0,695.0,5384.078858545909,1.0,6137.0,3045.0
